Sample;Donor;TRT;TPT;acetate;propionate;isobutyrate;butyrate;isovalerate;valerate;isocaproate;caproate;totalvfa ;pH;totalcopies;fp
1;D1a;CX;16h;25.255;9.567;1.888;7.968;3.029;4.465;0.000;0.463;52.634;5.563;9546324663.000;33023213414.000
2;D2a;CX;16h;28.036;11.238;2.232;10.304;3.534;5.370;0.000;0.554;64.860;5.570;14712187442.000;28601716678.000
3;D1a;PEG;16h;30.380;10.285;2.068;8.615;3.303;5.093;0.000;0.523;58.714;5.525;10765554873.000;32186540201.000
4;D2a;PEG;16h;33.716;11.671;2.270;11.156;3.568;5.326;0.000;0.513;66.339;5.570;17757855241.000;21116604618.000
5;D1b;CX;16h;34.291;10.196;2.162;9.918;3.404;5.000;0.000;0.633;65.603;5.500;10964077787.000;26582335769.000
6;D2b;CX;16h;22.330;11.123;2.181;10.512;3.418;5.147;0.000;0.541;64.866;5.570;15357676057.000;26582335769.000
7;D1b;PEG;16h;35.188;10.753;2.170;9.522;3.457;5.301;0.000;0.543;61.685;5.570;13183869089.000;29287731372.000
8;D2b;PEG;16h;37.869;12.593;2.417;11.987;3.770;5.616;0.000;0.489;69.605;5.640;20893587036.000;15971487080.000
9;D3a;CX;0h;0.488;0.183;0.000;0.122;0.000;0.000;0.000;0.000;0.793;5.983;27972741.090;329000000000.000
10;D3b;CX;0h;0.435;0.173;0.020;0.116;0.000;0.000;0.000;0.000;0.745;5.990;280838533.300;467000000000.000
11;D3a;PEG;0h;0.570;0.204;0.000;0.118;0.000;0.000;0.000;0.000;0.892;6.040;69831484.470;10000.000
12;D3b;PEG;0h;0.664;0.203;0.000;0.120;0.000;0.000;0.000;0.000;0.987;6.013;16878056.300;10000.000
13;D3a;CX;16h;7.303;7.025;0.840;1.566;14.901;1.712;0.000;0.000;33.347;5.673;1613675991.000;316000000000.000
14;D3b;CX;16h;7.297;6.632;0.766;1.571;13.752;1.624;0.000;0.015;31.656;5.673;104445807.500;126000000000.000
15;D3a;PEG;16h;10.127;6.264;0.693;3.891;11.449;1.058;0.000;0.055;33.539;5.793;298796838.400;101000000000.000
16;D3b;PEG;16h;11.142;7.606;0.826;4.747;14.023;1.473;0.000;0.068;39.885;5.647;273840009.400;101000000000.000
17;D4a;CX;0h;0.912;0.357;0.021;0.235;0.831;0.040;0.000;0.000;2.397;5.947;2645515997.000;415000000000.000
18;D4b;CX;0h;0.624;0.286;0.000;0.206;0.784;0.035;0.000;0.000;1.935;5.953;340980692.200;39144223256.000
19;D4a;PEG;0h;0.830;0.305;0.000;0.202;0.780;0.018;0.000;0.000;2.133;5.917;1451550195.000;226000000000.000
20;D4b;PEG;0h;0.990;0.365;0.000;0.237;0.850;0.056;0.000;0.000;2.498;5.957;951819946.700;112000000000.000
21;D4a;CX;16h;11.899;2.473;0.840;2.675;14.077;1.205;0.000;1.353;34.522;5.690;654554043.000;37510695155.000
22;D4b;CX;16h;10.682;2.205;0.839;2.417;14.262;1.288;0.000;1.555;33.249;5.630;2920587246.000;264000000000.000
23;D4a;PEG;16h;14.024;3.361;0.950;3.052;15.836;1.476;0.000;1.238;39.937;5.500;3354962095.000;157000000000.000
24;D4b;PEG;16h;14.966;4.192;1.005;3.523;17.188;1.754;0.000;0.827;43.455;5.733;57277254.860;157000000000.000
